emotion,gender,avg_intensity
anger,female,4.268571428571429
anger,male,4.099047619047619
fear,female,3.3695238095238094
fear,male,3.235238095238095
joy,female,4.616190476190476
joy,male,4.552380952380952
sadness,female,4.472380952380952
sadness,male,4.349523809523809
