emotion,race,avg_intensity
anger,African-American,3.8642857142857143
anger,European,4.201428571428571
fear,African-American,3.0785714285714287
fear,European,2.89
joy,African-American,4.408571428571428
joy,European,4.501428571428572
sadness,African-American,4.161428571428571
sadness,European,4.271428571428571
