emotion,race,avg_intensity
anger,African-American,3.0085714285714285
anger,European,3.0014285714285713
fear,African-American,3.33
fear,European,3.3042857142857143
joy,African-American,3.7385714285714284
joy,European,3.7114285714285713
sadness,African-American,2.9314285714285715
sadness,European,2.912857142857143
