emotion,gender,avg_intensity
anger,female,2.9885714285714284
anger,male,2.9961904761904763
fear,female,3.297142857142857
fear,male,3.297142857142857
joy,female,3.698095238095238
joy,male,3.6609523809523807
sadness,female,2.955238095238095
sadness,male,2.9104761904761904
