race,gender,emotion,prob_one,prob_two,prob_three,prob_four,prob_five
African-American,None,anger,0.1283231717,0.1397472679,0.15854674193333335,0.12673290416666666,0.16924220796666667
African-American,None,fear,0.1370758704,0.15939459383333332,0.17202642783333333,0.1327593586,0.14964342053333332
African-American,None,joy,0.13835595136666667,0.16228931696666668,0.17700380716666667,0.13713110073333334,0.14321201156666666
African-American,None,sadness,0.129674018,0.15238974643333333,0.17094902326666667,0.13887898536666665,0.153017459
European,None,anger,0.13651139213333333,0.15806692776666667,0.17857187776666666,0.11954544913333333,0.15525340436666668
European,None,fear,0.12990535653333332,0.16897729743333334,0.18731806203333332,0.1274691145,0.14874751020000002
European,None,joy,0.13883532753333333,0.17113908426666666,0.1907954522,0.1304805496,0.1381719887
European,None,sadness,0.12938964276666667,0.16404362346666668,0.18580013376666668,0.1329712448,0.1477898224
None,Female,anger,0.15215371255,0.17782751060000002,0.18923358335,0.1173415562,0.12558658815
None,Female,fear,0.1504400024,0.1864592271,0.19278749905,0.1228049901,0.12009650865
None,Female,joy,0.14884645655,0.1870387403,0.19462157915,0.1266236309,0.1166000354
None,Female,sadness,0.14986949075,0.18110500764999998,0.19340744315,0.1272280155,0.1156694587
None,Male,anger,0.14507326395,0.1661314842,0.1722392129,0.12759033195,0.13603208965
None,Male,fear,0.14556011365,0.17366981259999997,0.1765119345,0.13198744925,0.12829761885000002
None,Male,joy,0.14564518545,0.1780763942,0.18086605545,0.13604082395,0.12252626605
None,Male,sadness,0.14708818,0.16776797259999998,0.1753986434,0.136911608,0.12477320585
neutral,neutral,anger,0.13672045145,0.14243959755,0.1757675624,0.10555589735,0.1652007478
neutral,neutral,fear,0.132950668,0.15367960995000002,0.18428594259999997,0.11342487855,0.15747636595
neutral,neutral,joy,0.14364305030000002,0.15745841075,0.18971580965,0.1186444878,0.1441440555
neutral,neutral,sadness,0.13486808695,0.14927246789999998,0.18192112165000002,0.11724787880000001,0.15845636395
