emotion,gender,avg_intensity
anger,female,4.116190476190476
anger,male,4.0
fear,female,3.4380952380952383
fear,male,3.3447619047619046
joy,female,3.4361904761904762
joy,male,3.316190476190476
sadness,female,3.8095238095238093
sadness,male,3.552380952380952
