emotion,race,avg_intensity
anger,African-American,3.5514285714285716
anger,European,3.545714285714286
fear,African-American,2.8442857142857143
fear,European,2.7885714285714287
joy,African-American,3.192857142857143
joy,European,3.1757142857142857
sadness,African-American,3.0685714285714285
sadness,European,3.032857142857143
