emotion,gender,avg_intensity
anger,female,3.5028571428571427
anger,male,3.6676190476190476
fear,female,2.820952380952381
fear,male,2.8704761904761904
joy,female,3.156190476190476
joy,male,3.201904761904762
sadness,female,3.025714285714286
sadness,male,3.111428571428571
