emotion,gender,avg_intensity
anger,female,4.3428571428571425
anger,male,4.074285714285714
fear,female,3.916190476190476
fear,male,3.6076190476190475
joy,female,3.636190476190476
joy,male,3.3657142857142857
sadness,female,4.443809523809524
sadness,male,3.8704761904761904
